generation,average_diversity
0,8.992597547380155
1,8.960646599777034
2,8.908584169453734
3,8.841471571906354
4,8.840557413600893
5,8.815161649944258
6,8.798149386845038
7,8.774002229654403
8,8.731995540691193
9,8.668695652173913
10,8.626688963210702
11,8.656588628762542
12,8.632552954292084
13,8.641850613154961
14,8.467090301003344
15,8.276923076923078
16,7.950657748049053
17,7.454626532887403
18,6.968940914158305
19,6.082697881828317
20,5.401761426978818
21,4.410345596432553
22,3.9261984392419174
23,3.7945819397993312
24,3.8972352285395764
25,3.078974358974359
26,2.1820958751393533
27,1.663344481605351
28,1.9432998885172799
29,1.704860646599777
30,1.871505016722408
